ID,Project_ID,Project_Title,Donor_or_Lender,CIDA_Donor_Format,Multi_Single,Partner,Total_Cost,Currency_used,Sector_Code,Total_disbursement_to_date,Project_funding_type,Approval_Date,Name_of_Implementing_Agency,Telephone_for_EA,Fax_for_EA,www_address,Targeted_Beneficiaries(HH),Targeted_individuals,Targeted_Group,Address,Email,Objective,Components,Planned_Project_Outputs,Indicators,Start_Date,Completion_Date,Date_of_data_entry,District_Coverage
11,11,Improved Forest Management for Sustainable Livelihoods Programme,EU,EU,Single Donor,Government of Malawi (GoM),9000000,2,31210,"7,785,141",3,03/31/2005,Forestry Department,01 771 417/01 771 584,01 771 417,www.ifmslp.org,52000,0,Communities living adjacent to selected Forest Reserves,P/Bag B307 Capital City Lilongwe3,charles@ifmslp.org,To improve the livelihoods of forest dependent communities through sustainable collaborative management of forests both in Forest Reserves and on Customary land,"1. Community development_x000D_
_x000D_
2. Capacity building_x000D_
_x000D_
3. Policy and awareness_x000D_
_x000D_
4. Communication","1. Sustainable livelihood strategies promoted within Impact Areas_x000D_
_x000D_
2. Secured equitable access to forest resources through increasing the area under sustainable forest management arrangements_x000D_
_x000D_
3. Governance of key forest resources within the forest sector strengthened_x000D_
_x000D_
4. Communicating and advocacy within and between stakeholder groups promoted_x000D_
_x000D_
5.Administrative and technical support provided","1. All participating households with improved livelihoods through access to natural resources assets by end of projects_x000D_
_x000D_
2. Enhancing food security in participating households through increased and secure household income from forest-related income generating opportunities._x000D_
_x000D_
3. 12 forest reserves/protected forest areas under improved sustainable forest management contributing to forestry income generating activities by end of project_x000D_
_x000D_
4. 50% of customary land forests in participating Extension Planning Areas demarcate and managed to reduce environmental vulnerability through controlling floods and supporting adjacent agricultural productivity.",08/12/2005,02/28/2009,01/18/2010,"Chitipa, Karonga, Mzimba, Rumphi, Kasungu, Ntchisi, Ntcheu, Dedza, Machinga, Zomba, Chikwawa, Nsanje"
12,12,Farm Income Diversification Programme (FIDP),EU,EU,,Government of Malawi (GoM),16200000,2,43040,"15,432,157",3,03/31/2005,Ministry of Agriculture &Food Security (MoAFS),01 752 199/198,01 755 354,www.fidpmw.org,60370,,Rural communities,"P.O. Box 30291, Lilongwe 3.",mande1@fidpmw.org,To increase food security and income levels of rural households while ensuring sustainable use of soil amnd water resources by encouraging agri-business development and improved marketing of agriculture products,"1. On-farm activities._x000D_
_x000D_
2. Capacity building._x000D_
_x000D_
3. Support at village level supplies._x000D_
_x000D_
4. Technical assistance._x000D_
_x000D_
5. Alternative and appropriate technologies in crop and livestock production.","1. Improved knowledge, attitude and organisation of rural communities._x000D_
_x000D_
2. Sustainable management of soil conservation and soil fertility._x000D_
_x000D_
3. Enabling environment for agriculture business initiatives promoted._x000D_
_x000D_
4. Improved capacity of rural communities to access and developm post-harvest agricultural activities._x000D_
_x000D_
5. Timely and relevant education and training opportunities available in horticulture._x000D_
_x000D_
6. Strengthen institutional capacity of Ministry of Agriculture and Food Security and Ministry of Trade and Private Sector Development.","1. Number of food secure households increased _x000D_
_x000D_
2. Number of households with increased income levels._x000D_
_x000D_
3. Increased marketing of agriculutal products._x000D_
_x000D_
4. Sustainable use of water and soil resources.",08/18/2005,03/31/2012,01/06/2010,"Chiradzulu, Balaka, Thyolo, Salima, Lilongwe, Nkhotakota, Dowa, Mzuzu, Rumphi, Kasungu, Chitipa"
13,13,Community-Based Management of Malnutrition in Lilongwe and Salima,EU,EU,Single Donor,MALEZA,1024097,2,12390,"879,402",3,12/10/2006,Cooperatzione International (COOPI),01 761 775/779,01 761 775/779,,6350,0,Under five malnourished children,"P/Bag 67, Lilongwe",coordination@coopimw.org; castellano@coopi.org,1. Population (under 5 children and pregnant and lactating women) displaying signs of malnutrition reducing faster than in the nearby districts,"1. Nutrition at community level_x000D_
_x000D_
2. Food security_x000D_
_x000D_
3. Agro forestry","1. Communities and DHOs are empowered to provide nutrition services._x000D_
_x000D_
2. Children suffering or at risk of malnutrition are early detected and referred_x000D_
_x000D_
3. Households with children suffering or at risk of malnutrition have adopted a mother/child-focused lifestyle_x000D_
_x000D_
4. Households with children suffering or at risk of malnutrition have adopted a diversified diet and food production_x000D_
_x000D_
5.80 % of targeted communities report nutrition services more accessible._x000D_
_x000D_
6. 280 members from 56 VDCs/ADCs are trained on their roles. _x000D_
_x000D_
7. 56 VILLAGE HEALTH COMMITTEES are organized under the VDCs and 560 members are trained on their roles._x000D_
_x000D_
8. 30 HSAs oriented in their role of coordination of GMVs._x000D_
_x000D_
9. 40 DHO staff trained on treatment protocols and pathologies linked to malnutrition._x000D_
_x000D_
10. 200 kits of anthropometric equipments are procured and distributed for District to replicate CTC in the whole District._x000D_
_x000D_
11. Rates of severe malnutrition in targeted TAs are lower than Districts averages. _x000D_
_x000D_
12. 80 % of moderate malnourished children receive home-base care._x000D_
_x000D_
13. 56 GMVs trained in anthropometry, child surveillance, screening and referral. _x000D_
_x000D_
14. 2/3 of the targeted beneficiaries have adopted a more child-focused lifestyle._x000D_
 _x000D_
15. At least all families with malnourished children (6,500) participate to education activities for adoption of child-focused lifestyle._x000D_
_x000D_
16. 2/3 of the targeted beneficiaries have adopted the diversified diet and food production._x000D_
_x000D_
17. 56 NAVs trained in nutrition, permaculture and crop diversification.","1. 80% of targeted communities report nutrition services more accessible_x000D_
_x000D_
2. Two thirds of targeted beneficiaries have gained new skills in nutrition and have adopted recommended nutritional practices _x000D_
_x000D_
3. Two thirds of the targeted beneficiaries have adopted at least one of the recommended practices on hygiene, child care, pre-school education_x000D_
_x000D_
4. Two thirds of targeted beneficiaries have adopted at least one of the recommended crop diversification practices (low-input permaculture gardening, crop rotation with leguminous, cultivation of cassava and sweet potatos as an alternative staple food, rearing of small scale livestock)_x000D_
_x000D_
5. Two thirds of trgeted beneficiaries have at least 2 meals per day_x000D_
_x000D_
6. Rate of severe malnutrition in targeted TAs are lower than districts averages. 80% of moderate malnourished children receive home-based care",01/01/2007,05/31/2010,02/22/2010,"Lilongwe, Salima"
14,14,Support to Ministry of Agriculture and Food Security (MoAFS),EU,EU,Single Donor,Government of Malawi (GoM),746171734,7,31110,"643,208,162",3,03/01/2002,Food and Nutrition Security Joint Task Force Technical Secretariat (FNSJTF/TS),01 789 121/ 01 789 131,01 788 434,www.moafsmw.org,0,0,"MoAFS, NGO, Private Sector",P/Bag B505 Lilongwe 3,techsec@moafsmw.org,"1. To act as a technical instrument supporting MoAFS to ensure good governance in food security management and efficiently express its political, strategic and operational decisions on food security issues to all stakeholders and to provide an interface between the ministy, other relevant ministries, donors, civil society and private sector. _x000D_
_x000D_
2. To assist the GoM to lead a strong ownership in policies/ programmes and financial management in various ministries related to food and nutrition security.","1. Ensuring the smooth functioning of the existing committees of the Food and Nutrition Security Joint Task Force (Joint Task Force PlenarySession, 6 Committees, thematic working groups)_x000D_
_x000D_
2. Supporting the implementation of the Food and Nutrition Security Policy (FNSP) and major programmes and related strategies._x000D_
_x000D_
3. Assisting the setting up of an effective and productive collaboration between the FSJTF/TS, the MoAFS, other relevant ministries, civil society and  private sector.","1. The existing committees of the Food Security Joint Task Force are functioning._x000D_
_x000D_
2. The FNSP and its Moitoring and Evaluation  (M&E)system are implemented._x000D_
_x000D_
3. The major programmes and strategies related to the FNSP are supported._x000D_
_x000D_
4. Capacity and collaboration of TS, MoAFS and other relevant ministries is improved._x000D_
_x000D_
5. Capacity of NGOs, farmer organizations, Private Sector and other collaborating partners is strengthened.","1. Minutes of all subcommittee meetings are prepared._x000D_
_x000D_
2. Participation at all subcommittee meetings is increased by5%._x000D_
_x000D_
3. Monitoring and Evaluation System is in place and functioning._x000D_
_x000D_
4. Food and Nutrion Security Action Plan is approved._x000D_
_x000D_
5. A consortium of civil society actors is collecting data for 2 output indicators identified in the FNSP M&E system every year._x000D_
_x000D_
6. Baselines for FNSP indicators have been established._x000D_
_x000D_
7. Number of projects in database of agriculture and food security projects is increased._x000D_
_x000D_
8. Malawi Vulnerability Assessment Committee (MVAC) strategy document has been finalised._x000D_
_x000D_
8. All NGOs in the consortium have incorporated the set of indicators identified in the study on output and impact indicators by October 2006._x000D_
_x000D_
9. Number of reports circulated by MoAFS is increased.",03/01/2002,12/31/2011,02/01/2010,Country-Wide
15,15,Masasa Sustainable Livelihoods Projects,Australian Aid,,,,331330,6,43040,"91,712",3,07/01/2004,Concern Universal (CU),01 823 761,01 823 846,www.concern-universal.org,5200,26000,Rural farmers,"Box 228, Ntcheu",Senard.mwale@concern-universal.org,"To improve quality of life of target communities, through a series of appropriate and sustainable interventions in strategic sectors","1. Food security_x000D_
_x000D_
2. water and sanitation _x000D_
_x000D_
3. HIV/AIDS","1. Enhanced household food security_x000D_
_x000D_
2. Increased access to sustainable safe water supplies_x000D_
_x000D_
3. Increased community prevention and mitigation of targeted disease particularly water borne diseases and HIV/AIDS and malaria_x000D_
_x000D_
4. Strengthened organizational and community capacity to manage and sustain equitable development","1. Percentage of households without food in critical months_x000D_
_x000D_
2. Percentage of households accessing high quality seed or planting material_x000D_
_x000D_
3. Percentage of HIV/AIDS affected households involved in productive enterprise_x000D_
_x000D_
4. Reduced levels of diseases",07/01/2004,06/30/2010,01/12/2010,Ntcheu
16,16,Institutional and Human Resource Development Project for One Village One Product (OVOP) Programme in Malawi,JICA,JICA,Single Donor,Government of Malawi (GoM),300000000,1,31194,"205,290,000",3,07/18/2005,National One Village One Product (OVOP) Secretariat,01 771 617/0888 841 556,01 770 698,www.ovo.org.mw,,,Community driven small scale business groups for processing locally available resources,"Private Bag 41, Lilongwe",ovop@globemw.net,"1. Using locally available resources, the high quality of goods and services with comparative advantage are generated.","1. Training for small business._x000D_
_x000D_
2. Agro-processing._x000D_
_x000D_
3. Marketing.","1. Institutional capacity development for OVOP programme._x000D_
_x000D_
2. Human Resource Capacity Development for OVOP Programme._x000D_
_x000D_
3. Model case study for OVOP programme._x000D_
_x000D_
4. Information sharing at OVOP concept.","1. Number of OVOP projects proposals approved._x000D_
_x000D_
2. Number of people trained._x000D_
_x000D_
3. Number of model projects verified._x000D_
_x000D_
4. Amount of information disseminated.",10/07/2006,10/06/2010,02/22/2010,Country-Wide
17,17,Famine Early Warning System Network (FEWSNET),USAID,,,Chemonics International Inc.,300000,5,72010,"145,000",3,01/01/2007,FEWSNET,01 754 892/09 99 298 211,01 773 181,www.usaid.gov/mw; www.fews.net/malawi,,,Vulnerable households,,jbwirani@fews.net,"1. To deliver early warnings of hazards, food insecurity, vulnerability to food insecurity, and famine.  _x000D_
_x000D_
2. To assist in developing national emergency early warning and food security monitoring and assessment capabilities inorder to assist in sustaining local monitoring and assessment of needs, and contribute to the design of appropriate food and non-food emergency responses.  _x000D_
_x000D_
3. To develop and apply an integrated food security approach that allows a holistic assessment and analytical understanding of food security.  _x000D_
_x000D_
4. To define and carry out country-specific capacity and institution strengthening activities with national partners.","1. Technical Assistance _x000D_
_x000D_
2. Training",1. 54 people trained in disaster preparedness,"1. Number of countries with early warning systems linked to a response system in place as a result._x000D_
_x000D_
2. Number of people trained in disaster preparedness",01/01/2007,09/30/2010,02/21/2010,Country-Wide
18,18,Sustainable Food Security- Legume and Cereal Promotion,Plan Malawi,Germany,Single Donor,,63895000,7,43040,"49,717,261",2,06/01/2009,ICRISAT,01 707 297/071/067,01 707 298,www.icrisat.org,1700,10700,"Rural farmers, women, child-headed households","Box 2053, Lilongwe",omazdonga@cgiarmw.org,To increase food and economic security of the participating farmers.,"1. Trainings in production, processing and utilization _x000D_
_x000D_
2. Marketing of crops (groundnuts, sesame, millets, pigeon peas). _x000D_
_x000D_
3. Distribution of improved seed to farmers.",1. Trainings conducted and seed distributed,1. Increased numbers of farmers reporting an increase in food and economic security at household level,07/01/2009,06/30/2011,02/25/2010,"Mulanje, Lilongwe, Kasungu, Mzimba"
19,19,Sustainable Nutrition Rehabilitation Programme,EU,ACT GENEVA,Multi Donor,Dan Church Aid (DCA),1200000,2,12360,"1,109,881",3,12/01/2006,Christan Health Association of Malawi (CHAM),01 775 180/01 771 258,01 775 406,www.danchurchaid.org,6400,32000,"Households with malnourished children, orhphans, Vulnerable mothers,","Private Bag 282,Lilongwe", malawi@dca.dk,"1. Overall objective._x000D_
i. To contribute to improved livelihood security of vulnerable rural households in Malawi by enhancing their food and nutrition status in a sustainable and rights-based development approach_x000D_
_x000D_
2. Specific objective_x000D_
_x000D_
i. To facilitate community institutions promote dietary, crop and livestock diversification at both household and community level_x000D_
_x000D_
ii. To enhance appropriate mother and child care practices in the communities_x000D_
_x000D_
iii. To promote community-based treatment of malnutrition_x000D_
_x000D_
iv. To provide reghts-based capacity building process_x000D_
_x000D_
3. Psychosocial programmes","1. Low input sustainable agriculture._x000D_
_x000D_
2. Establishment of agroforestry and fruit tree nurseries. _x000D_
_x000D_
3. Promotion of seed multiplication and communal seed banks._x000D_
_x000D_
4. Small livestock intergration_x000D_
_x000D_
5. Small scale irrigation_x000D_
_x000D_
6. Community based treatment of malnutrition_x000D_
_x000D_
7. Community based health education_x000D_
_x000D_
8. Community based growth and development monitoring_x000D_
_x000D_
9. Strengthening linkages of community institutions to health and sanitary structures and other support institutions in delivery of health services","1. Communities adopt a diversified household diet through improved access to and utilization of nutritous food_x000D_
_x000D_
2. Adequate mother and child care practices adpted by the communities_x000D_
_x000D_
3. Appropriate community-based treatments of malnutrition adopted_x000D_
_x000D_
4. Community capacity enhanced through partnerships and linkages support for nutrition related initiatives","1. At least 70% of targeted households practice proper food storage, preparation and utilization practices and techniques_x000D_
_x000D_
2. 50% of targeted households have at least two meals per day_x000D_
_x000D_
3. 90% of targeted households with  access to adequate seed materials_x000D_
_x000D_
4. 80% of targeted households adopting recommended technologies/practices_x000D_
_x000D_
5. 60% of the targeted households adopting recommended care practices_x000D_
_x000D_
6. 50% reduction in mothers attending community feeding centres due to improved nutrition_x000D_
_x000D_
7. 90% of malnourished children idetified early at moderate state_x000D_
_x000D_
8. 60% reduction of children referred to NRUs_x000D_
_x000D_
9. Increased extension agent/household contact ration_x000D_
_x000D_
10. Communities able to seek information and assistance on their own_x000D_
_x000D_
11. 50% women representation in decision-making structures",01/01/2007,03/31/2010,02/24/2010,"Karonga, Rumphi,  Salima, Dedza, Mangochi"
20,20,Food Security and Livelihoods Improvement Programme,DCA,Integrated Organization for Development Cooperation (ICCO),Single Donor,Dan Church Aid (DCA),24507243,7,52010,"21,285,841",3,04/01/2007,Churches Action in Relief and Development (CARD),01 840 778,01 840 700,,3156,,Poorest of the poor,"P.O Box 2733, Blantyre",cardprojects@africa-online.net; card@africa-online.net,"1. To ensure that the rural por households who are vulnerable to food insecurity (women, girl child, OVC's landless and people living with HIV and AIDS) in Nsanje District benefit equitably from sustainable exercising and realizing their constitutional right to food.","1. Crop production, _x000D_
_x000D_
2. Small scale irrigation, _x000D_
_x000D_
3. Livestock, _x000D_
_x000D_
4.  Economic empowerment, _x000D_
_x000D_
5. HIV/AIDS, _x000D_
_x000D_
6. Natural resource and environmental management","1. Households’ food and nutrition security of the resource poor groups of people especially women and children improved._x000D_
_x000D_
2. Economic status of people and income levels of households improved._x000D_
_x000D_
3. Improved health and sanitation status of communities._x000D_
_x000D_
4. Reduced abuse of rights and gender based violence._x000D_
_x000D_
5. Increased sustainability of natural resources and environment management","1. Percentage increase in real household income_x000D_
_x000D_
2. Percentage of households that are adopting irreversible coping strategies _x000D_
_x000D_
3. Percentage change in cases of malnutrition in vulnerable groups (u5 children, pregnant women and lactating mothers) in Malawian communities._x000D_
_x000D_
4. Proportion of people within vulnerable groups (u5 children, pregnant and lactating women) displaying signes of nutrition related disorders in the Malawian communities_x000D_
_x000D_
5. Percentage of children u5 that are stunted in the Malawian population_x000D_
_x000D_
6. Increase in awareness of the right holders on the available relevant policies and their role to influence the development and implementation of them_x000D_
_x000D_
7. Percentage increase  in participation of people living with HIV and AIDS, women, girl child, OVC's and landless ineffective decision making and local development process_x000D_
_x000D_
8. Ipercentage increase in number of households participating in small scale business and IGAs_x000D_
_x000D_
9. Proportion of project targeted households that have access ti high quality improved seed varieties or planting materials through own purchase_x000D_
_x000D_
10. Proportion of farmers owning different types of crops and livestock_x000D_
_x000D_
11. Annual increase in land under irrigation in smallholder sector_x000D_
_x000D_
12. Annual increase in production per unit area of irrigated crops_x000D_
_x000D_
13.Percentage of households adopting specific recommended technologies_x000D_
_x000D_
14. Number of children admitted and readmitted to the nutrition rehabilitation units (NRUs)",04/01/2007,12/31/2010,01/18/2010,Nsanje
21,21,Sustainable Food Security- Root Crop Promotion,PLAN Malawi,,,,53370400,7,43040,"40,600,000",2,01/01/2007,IITA/SARRNet,01 707 014/022,01 707 026,www.iita.org,1700,10700,"Rural farmers, women, child-headed households","Box 30258, Lilongwe3",anthonyiwa@iitamw.org,To increase food and economic security of the participating farmers,"1. Trainings in production, processing and utilization _x000D_
_x000D_
2. Marketing of tuber crops. _x000D_
_x000D_
3. Supporting beneficiaries with high quality cuttings and vines for planting",1. Trainings and seed distributed,1. Increased numbers of farmers reporting an increase in food and economic security at household level,07/01/2009,06/30/2011,02/25/2010,"Mulanje, Lilongwe, Kasungu, Mzimba"
22,22,Commercial Microfinance for Malawi Under Served Poor,USAID,,,,889782,5,31193,"798,000",3,09/21/2006,Opportunity International Bank of Malawi (OIBM),01 758 403 / 08 841 224,01 758 400,,117000,,Rural farmers," P/Bag A71, Lilongwe",rvoorhies@opportunity.net,"1. To expand the delivery of financial services to agriculturally-linked enterprises._x000D_
_x000D_
2. To increase access for the poor to safe and secure financial services as a means to create jobs, strengthen livelihood incomes, increase standards of living and transform lives of Malawi's under-deserved poor.",1. Micro finance.,"1. Increased breadth of client outreach._x000D_
_x000D_
2. Increased access to the poor to safe and secure savings services._x000D_
_x000D_
3. Increased access to investment and consumer loans._x000D_
_x000D_
4. Improved access to multiple rural financial services._x000D_
_x000D_
5.  Increased depth of client outreach._x000D_
_x000D_
6. Implement global micro finance technology.","1. Total value (cumulative) of loans disbursed to agriculturally - linked enterprises by USAID - financed micro-finance intermediaries._x000D_
_x000D_
2. Cumulative number of loans disbursed by USAID - financed micro-finance intermediaries._x000D_
_x000D_
3. Number of savers of USAID - financed Microfinance Institutions (MFIs).",09/21/2006,08/31/2010,03/02/2010,"Lilongwe, Kasungu"
23,23,Integrated Smallholder Dairy Projects,Heifer International,,,,249154,5,31163,"249,154",3,06/25/2007,Small Scale Livestock Promotion Programme (SSLPP),01 756 529,01 758 934,www.smallscalelivestock.org,70,3300,Smallholder farmers,"P.O. Box 1604, Lilongwe",sslpp@smallscalelivestock.org,"To improve food security, income and nutrition amongst smallholder farm families",1.Dairy production,"1. Improved nutritional status all beneficiaries through consumption livestock products._x000D_
_x000D_
2. Household income increased for beneficiaries through integrated farming._x000D_
_x000D_
3. Farmers trained in dairy cattle production and management.","1. Percentage increase in household income_x000D_
_x000D_
2. Number of families with improved nutrition_x000D_
_x000D_
3. Increase access and number of improved livestock products",07/01/2008,07/30/2010,12/03/2009,"Karonga, Ntchisi, Thyolo"
24,24,Income Generating Public Works Programme (IGPWP),EU,EU,Single Donor,Government of Malawi (GoM),15515500,2,43040,"14,330,479",3,05/03/2006,IGPWP Project Management Unit  (PMU),01 759 222,01 759 221,,,79000,"Rural poor farmers, Village Clubs, Communities, District Assemblies, Contractors"," P.O. Box 1071, Lilongwe",pmu@pwp.co.mw,1. To contribute to the Government’s objective of poverty reduction in line with the Malawi Poverty Reduction Strategy (MPRS).,"1. Road._x000D_
_x000D_
2. Irrigation._x000D_
_x000D_
3. Forestry.","Roads & bridges rehabilitation and upgrading:_x000D_
3240 kms of rural roads upgraded_x000D_
80 bridges rehabilitated_x000D_
MK 690million earned by local communities_x000D_
_x000D_
1. Rural roads maintenance: 4050 kms of roads maintained._x000D_
_x000D_
2. Forestry: 27 million trees planted and 3050 village clubs formed and accountable._x000D_
_x000D_
3. Irrigation: 6,940 treadle pumps distributed and 1,040 water harvesting projects._x000D_
_x000D_
4. District Assembly capacity: 15 District Assemblies enhanced._x000D_
_x000D_
5. Cross-cutting issues:_x000D_
79,000 people empowered through awareness_x000D_
30% of women and youth employed_x000D_
MK210 million earned by women and youth_x000D_
30% of women and youth represented in development committees_x000D_
610 linkages are facilitated_x000D_
_x000D_
6. Project Management: 10 local project managers employed and earn MK184m.","1. Rural roads are upgraded and rehabilitated:_x000D_
Length of rural roads rehabilitated_x000D_
Number of bridges rehabilitated_x000D_
Income earned by local communities_x000D_
_x000D_
2. Rural roads are maintained:_x000D_
Length of roads maintained_x000D_
_x000D_
3. Productive local forestry activities are developed:_x000D_
Number of village forestry and agricultural clubs established_x000D_
Number of village bank accounts established_x000D_
Number of trees planted_x000D_
_x000D_
4. Productive local agricultural activities are developed:_x000D_
Number of treadle pumps supplied_x000D_
Number of water harvesting projects established_x000D_
_x000D_
5. Implementation capacity of District Assemblies enhanced:_x000D_
Implementation management arrangements achieved by DAs _x000D_
_x000D_
6. Adequately addressing cross-cutting issues:_x000D_
Number of linkages programs_x000D_
Number of people receiving HIV/AIDS awareness and empowerment_x000D_
Percentage of women and youth employed_x000D_
Percentage of women and youth represented in development committees._x000D_
_x000D_
7. Project Management:_x000D_
Number of local project managers employed_x000D_
Fees earned by local project managers_x000D_
Income earned from IGAs",08/01/2005,12/31/2011,11/30/2009,"Blantyre, Chikwawa Dedza, Lilongwe, Dowa, Mchinji, Ntcheu, Kasungu, Nkhotakota, Machinga, Mangochi, Mzimba, Mulanje, Thyolo, Zomba"
25,25,Katimbira Area Development Programme,World Vision Taiwan,,,,87391,5,31120,"12,347",3,10/01/1999,World Vision Malawi (WVM),01 292 360/432,01 292 360,www.wvi.org,2567,14260,Rural farmers,"P.O. Box 417, Nkhotakota",frolence_tembo@wvi.org,To improve food security status of people of katimbira,"1.  Food security. _x000D_
_x000D_
2. Environmental management. _x000D_
_x000D_
3. Nutrition.","1. Livestock cross breeding programme established. _x000D_
_x000D_
2. Commercial vegetable production and post harvesting technologies among households promoted. _x000D_
_x000D_
3. Soil and water conservation programme implemented. _x000D_
_x000D_
4. Crop diversification programme implemented.","1.  Percentage of farmers practicing crop diversification. _x000D_
_x000D_
2. Number of farmers owning livestock. _x000D_
_x000D_
3. Number of households practicing post harvest technologies_x000D_
_x000D_
4. Percentage of farmers practicing soil and water conservation.",10/01/1998,09/30/2013,02/08/2010,Nkhotakota
26,26,Mulanje Mountain Biodiversity Project,World Bank,,,,6600000,5,41030,"5,600,000",2,04/17/2001,Mulanje Mountain Conservation Trust (MMCT),01 466 282,01 466 241,,5900,0,,"P.O. Box 139, Mulanje",carl@mountmulanje.org.mw,"To improve Mulanje Mountain ecosystem, including globally significant biodiversity and vital ecological services.","1. Trust Administration. _x000D_
_x000D_
2. Biodiversity Conservation, Research and Monitoring. _x000D_
_x000D_
3. Environmental Education and Communication. _x000D_
_x000D_
4. Forest co-management._x000D_
_x000D_
5. Livelihoods Conservation Trust Fund.","1. M&E. providing information for management and conservation planning. _x000D_
_x000D_
2. Attitudes towards the Mulanje Mountain improved and conservation activities increased. _x000D_
_x000D_
3. Community structures operational. _x000D_
_x000D_
4. Co-management pilot activities underway.","1. Invasive species eradicated. _x000D_
_x000D_
2. Mulanje Mt. Conservation Trust established and functioning on income being generated by endowment fund. _x000D_
_x000D_
3. Community awareness and appreciation of ecosystem improved and valued. _x000D_
_x000D_
4. Proportion of Mulanje Mt. Resources under co-management.",08/15/2001,06/30/2012,02/24/2010,Mulanje
27,27,Kunyinda Area Development Programme,World Vision Germany,,,,426500,5,31120,"233,452",3,01/04/1999,World Vision Malawi (WVM),01 427 349,01 427 496,www.wvi.org,0,22843,"Girl Child, Orphans, Women","P.O. Box 64, Ngabu",andrew_khumalo@wvi.org,1. To improve household food security.,"1. Livestock production._x000D_
_x000D_
2. Drought tolerant crops production._x000D_
_x000D_
3. Food diversification.","1. Livestock cross breeding programme established. _x000D_
_x000D_
2. Farm input loan facility implemented._x000D_
_x000D_
3. Drought tolerant crop seed distributed. _x000D_
_x000D_
4. Crop diversification programme implemented.","1.  Number of livestock cross breeds. _x000D_
_x000D_
2.  Number of farmers accessing farm inputs. _x000D_
_x000D_
3.  Number of drought tolerant crops.",01/04/1999,09/30/2013,02/08/2010,Chikwawa
